rank,country,isin,name,amount,ticker,asset_group
1,미국,US25459W4583,DIREXION DAILY SEMICONDUCTORS BULL 3X SHS ETF,3738316349,SOXL,semiconductor_leverage_etf
2,미국,US4581401001,INTEL CORP,920795362,INTC,semiconductor_stock
3,미국,US5951121038,MICRON TECHNOLOGY INC,763498334,MU,semiconductor_stock
4,미국,US67066G1040,NVIDIA CORP,621127923,NVDA,semiconductor_stock
6,미국,US02079K3059,ALPHABET INC CL A,602594013,GOOGL,bigtech_stock
9,미국,US25461H5726,DIREXION SHARES ETF TRUST DAILY SEMICONDUCTOR BEAR 3X SHS,422492774,SOXS,semiconductor_inverse_etf
10,미국,US88160R1014,TESLA INC,370009917,TSLA,growth_stock
11,미국,US4642875235,ISHARES SEMICONDUCTOR ETF,360308352,SOXX,semiconductor_etf
12,미국,US0079031078,ADVANCED MICRO DEVICES INC,346191247,AMD,semiconductor_stock
13,미국,US46138G6492,INVESCO NASDAQ 100 ETF,337099684,QQQM,nasdaq100_etf
14,미국,US46436E7186,ISHARES 0-3 MONTH TREASURY BOND ETF,296320691,SGOV,short_treasury_etf
16,미국,US74347X8314,PROSHARES ULTRAPRO QQQ ETF,259777519,TQQQ,nasdaq100_leverage_etf
21,미국,US46090E1038,INVESCO QQQ TRUST SRS 1 ETF,229715437,QQQ,nasdaq100_etf
22,미국,US25460G2865,DIREXION DAILY TSLA BULL 2X SHARES,228755620,TSLL,single_stock_leverage_etf
24,미국,US0231351067,AMAZON.COM INC,210666647,AMZN,bigtech_stock
25,미국,US69608A1088,PALANTIR TECHNOLOGIES INC CL A,197931911,PLTR,growth_stock
27,미국,US8085247976,SCHWAB US DIVIDEND EQUITY ETF,179621629,SCHD,dividend_etf
29,미국,US9229083632,VANGUARD SP 500 ETF,172554264,VOO,sp500_etf
34,미국,US74347R2067,PROSHARES ULTRA QQQ ETF,130235330,QLD,nasdaq100_leverage_etf
35,미국,US7475251036,QUALCOMM INC,128759957,QCOM,semiconductor_stock
36,미국,US46222L1089,IONQ INC,122935365,IONQ,quantum_stock
37,미국,US0420682058,ARM HOLDINGS PLC SPON ADS,119659054,ARM,semiconductor_stock
38,미국,US5949724083,MICROSTRATEGY INC CL A,115584169,MSTR,bitcoin_related_stock
